regime,sample,x_E,y_E,alt,u,v,w,phi,theta,psi,p,q,r,T1,dp1,dy1,dp1_dot,dy1_dot,T2,dp2,dy2,dp2_dot,dy2_dot
approach,0,-106.97843208909035,58.35238629952073,1108.1217068247497,-8.150382321327925,2.856412036344409,12.860783864744008,0.5846735537052155,-0.41836999356746674,-10.461560636758804,0.7090636510401964,-2.1113319508731365,-0.3149701002985239,7125.649504764204,0.9427895620465279,-1.4767299704253674,0.0027614962309598923,2.163023041561246,6963.632096006506,1.307058504782617,1.0213054083287716,-0.886413624510169,-0.9647910688072443
approach,1,332.9017444513738,-47.0265869051218,861.8320903740823,-13.720513042062521,-2.7262569591403008,3.671756642870605,-0.6414377242326736,7.106673836708069,2.9919951036572456,-0.9499618615955114,1.1206124480813742,1.847838643938303,6214.4124176185,-0.2400746801868081,0.7235417738556862,-0.23476293683052063,-2.6241787802428007,5554.029768788721,-0.4411317855119705,-0.666746947914362,1.0031248088926077,1.9913019631057978
approach,2,108.15148781985044,195.76595816761255,1248.5290432348847,-2.5771918706595898,-1.4332938473671675,9.209183184430003,6.56068354845047,2.17937433719635,8.346214732155204,-2.1032006051391363,1.8761801719665527,0.9652323201298714,6550.754741944303,0.5612527616322041,1.2591139767318964,2.576894609257579,-1.0003954153507948,6302.821493247606,-1.2962474869564176,0.002819996327161789,-2.387236498296261,0.44364222697913647
approach,3,-331.34961081668735,-185.9157015569508,1002.7572756633162,-18.061749394983053,1.5777921862900257,24.2576090618968,-6.7424409836530685,-5.3662078231573105,-0.9325394500046968,2.6122110206633806,-0.8856437858194113,-2.497001526877284,5639.363487125934,-1.2647007973864675,-0.47810730524361134,-2.4353580325841904,0.5874027628451586,5832.9963982885065,0.4299999587237835,-1.3124121017754078,2.5023370049893856,-2.606096176430583
approach,4,-261.3517780788243,336.05329394340515,869.0436162985861,-16.069465782493353,0.592265035957098,15.740647399798036,5.702700659632683,0.05911850929260254,12.310242326930165,-0.6755174361169338,2.813845982775092,-2.2321047205477953,6414.247398746602,-0.716677101328969,-0.10503369849175215,-2.170508014038205,1.016823934391141,6048.427136065346,-0.9399118954315782,1.209449389949441,-0.28885116800665855,-0.2997507154941559
approach,5,3.290720656514168,-345.93697218224406,1114.8497086949646,-0.8191303722560406,-0.15570870600640774,0.6865120492875576,-5.509709924459457,-7.497907027602196,-4.8933187779039145,0.9868197105824947,-0.3233414255082607,0.6704901270568371,5504.675123611937,1.4197546290233731,0.8823776403442025,2.0274958312511444,-0.5826933514326811,6518.266350341,0.30584245920181274,-0.10507353208959103,0.07743430137634277,2.650482852011919
approach,6,259.8332107998431,109.8177625797689,978.2080754637718,-10.400297548621893,-3.8488030433654785,12.19014881644398,3.663115456700325,-2.288380965590477,-13.99708153679967,2.13703578338027,-2.6740006115287542,2.891801878809929,6790.889788479096,-0.7821924593299627,0.34588984306901693,-1.159341724589467,-2.191902397200465,5740.09069318709,0.9507475895807147,0.5646758917719126,-1.7896711695939302,1.290323294699192
approach,7,-4.515703581273556,-121.13150525838137,1224.4709815829992,-5.220944117754698,4.309468260034919,21.384885511361063,-3.595116078853607,5.224729776382446,6.531678009778261,-2.5758252404630184,0.18331293761730194,-1.3305542226880789,5881.507530707534,0.07838323060423136,-1.1042057918384671,1.3927972465753555,2.5835803169757128,7149.707132719539,-0.3169982470571995,-1.1240856405347586,1.5766493696719408,-1.753556001931429
approach,8,-70.46698788180947,239.12678519263864,926.8433034420013,-1.5060621686279774,-3.351640561595559,21.916710818186402,4.160844773054123,1.7504269629716873,13.12828017398715,2.9777407497167587,0.5192089509218931,-0.5137421172112226,5413.990390855825,-0.9589655203744769,1.3485152358189225,-1.769091658294201,-1.197337618097663,5916.079359979497,-0.8421681504696608,0.22505742218345404,-0.6612352095544338,2.2536497991532087
approach,9,195.22760435938835,-227.19232700765133,1180.094988271594,-16.605029348284006,3.4802697598934174,6.862581428140402,-4.096518889069557,-6.688709914684296,-5.717736762017012,-1.7288929000496864,-2.341034520417452,2.022621788084507,6266.77546798953,0.2561596166342497,-0.5705297542735934,1.5323323365300894,0.015462348237633705,6385.903555195388,0.16337494645267725,-1.4644765863195062,0.4490431845188141,-0.702721981331706
